REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15131556,611.04,Repeated False Alarms,07/17/2015,01:23,2000 block Ley St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15131579,3745,Accidents Involving Damage to Unattended Veh.or Prop.,07/17/2015,02:10,2000 block Letsche St,Fineview,1,,
OFFENSE 2.0,15131585,901,Criminal Attempt,07/17/2015,02:28,1200 block Linden Pl,East Allegheny,1,,
OFFENSE 2.0,15131585,5505,Public Drunkenness,07/17/2015,02:28,1200 block Linden Pl,East Allegheny,1,,
OFFENSE 2.0,15131585,13(a)(16),Possession of Controlled Substance,07/17/2015,02:28,1200 block Linden Pl,East Allegheny,1,,
ARREST,15131585,13(a)(16),Possession of Controlled Substance,07/17/2015,02:35,1200 block Linden Pl,East Allegheny,1,29,M
ARREST,15131585,901,Criminal Attempt,07/17/2015,02:35,1200 block Linden Pl,East Allegheny,1,29,M
ARREST,15131585,5505,Public Drunkenness,07/17/2015,02:35,1200 block Linden Pl,East Allegheny,1,29,M
OFFENSE 2.0,15131639,3743,Accidents Involving Damage to Attended Veh. or Property,07/17/2015,05:27,Ohio River Blvd & Ohio River Blvd Ramp,Chateau,1,,
OFFENSE 2.0,15131694,9999,9999 - (Misc. Incident): Medical Collecetion & Disposal Program,07/17/2015,09:00,1200 block Western Ave,Manchester,1,,
OFFENSE 2.0,15131697,13(a)(16),Possession of Controlled Substance,07/17/2015,09:24,1100 block Federal St N,Central Northside,1,,
OFFENSE 2.0,15131697,2702,Aggravated Assault.,07/17/2015,09:24,1100 block Federal St N,Central Northside,1,,
OFFENSE 2.0,15131697,3503(b)(1)(ii),Defiant Trespass Notice Posted by Sign(s),07/17/2015,09:24,1100 block Federal St N,Central Northside,1,,
ARREST,15131697,13(a)(16),Possession of Controlled Substance,07/17/2015,09:25,1100 block Federal St N,Central Northside,1,25,M
ARREST,15131697,2702,Aggravated Assault.,07/17/2015,09:25,1100 block Federal St N,Central Northside,1,25,M
ARREST,15131697,3503(b)(1)(ii),Defiant Trespass Notice Posted by Sign(s),07/17/2015,09:25,1100 block Federal St N,Central Northside,1,25,M
OFFENSE 2.0,15131887,9093,Indirect Criminal Contempt,07/17/2015,10:30,100 block Rhine Pl,Spring Hill-City View,1,,
