REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15072687,3934,Theft from Vehicle,04/26/2015,01:57,1900 block Morris Ave,Fineview,1,,
OFFENSE 2.0,15072746,3503,Criminal Trespass,04/26/2015,04:00,3200 block Central Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15072746,5506,Loitering and Prowling at Night,04/26/2015,04:00,3200 block Central Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15072943,3745,Accidents Involving Damage to Unattended Veh.or Prop.,04/26/2015,06:15,2900 block Mullins St,Marshall-Shadeland,1,,
OFFENSE 2.0,15072785,2701,Simple Assault.,04/26/2015,06:54,1300 block Woods Run Ave,Brighton Heights,1,,
OFFENSE 2.0,15072817,3502,Burglary.,04/26/2015,07:30,2900 block Reekes Way,Spring Garden,1,,
OFFENSE 2.0,15072794,9496,Dead on Arrival (DOA),04/26/2015,07:56,2600 block Linwood Ave,Perry South,1,,
OFFENSE 2.0,15072973,2702,Aggravated Assault.,04/26/2015,15:30,4000 block Perrysville Ave,Perry North,1,,
ARREST,15072973,2702,Aggravated Assault.,04/26/2015,15:35,4000 block Perrysville Ave,Perry North,1,16,M
OFFENSE 2.0,15072980,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,04/26/2015,16:01,1400 block Sandusky St N,Central Northside,1,,
OFFENSE 2.0,15072996,2701,Simple Assault.,04/26/2015,16:30,200 block Kennedy Ave,Perry South,1,,
OFFENSE 2.0,15073107,9490,Missing Persons (18 and Over),04/26/2015,17:30,4000 block Perrysville Ave,Perry North,1,,
OFFENSE 2.0,15073032,2709(a),Harassment.,04/26/2015,17:40,1500 block Eckert St,Marshall-Shadeland,1,,
OFFENSE 2.0,15073050,9488,False  Burglar Alarm,04/26/2015,17:57,2600 block Ellis St,Perry South,1,,
OFFENSE 2.0,15073041,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,04/26/2015,18:00,100 block Fountain St,Central Northside,1,,
OFFENSE 2.0,15073041,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,04/26/2015,18:00,100 block Fountain St,Central Northside,1,,
OFFENSE 2.0,15073070,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,04/26/2015,18:25,2900 block Shadeland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15073138,6110.1,Possesion of Firearm by Minor,04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
OFFENSE 2.0,15073138,6110.2,Possesion of Firearm with Altered Mfg. Number,04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
OFFENSE 2.0,15073138,6106,Firearms not to be Carried without a License.,04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
OFFENSE 2.0,15073138,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
OFFENSE 2.0,15073138,5121,Escape.,04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
OFFENSE 2.0,15073138,4910,Tampering with or Fabricating Physical Evidence.,04/26/2015,20:19,Eloise St & Drovers Way,Central Northside,1,,
ARREST,15073138,9501,Bench Warrant,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,24,M
ARREST,15073138,6105(a)(1),Persons not to possess  use  manufacture  control  sell or transfer firearms: Former Convict enumerated in subsection (b),04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
ARREST,15073138,4910,Tampering with or Fabricating Physical Evidence.,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
ARREST,15073138,5121,Escape.,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
ARREST,15073138,6110.2,Possesion of Firearm with Altered Mfg. Number,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
ARREST,15073138,6110.1,Possesion of Firearm by Minor,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
ARREST,15073138,6106,Firearms not to be Carried without a License.,04/26/2015,20:35,Eloise St & Drovers Way,Central Northside,1,17,M
OFFENSE 2.0,15073154,9496,Dead on Arrival (DOA),04/26/2015,21:01,100 block E Jefferson St,Central Northside,1,,
OFFENSE 2.0,15073224,3921(a),Theft by Unlawful Taking or Disposition - Movable item,04/26/2015,21:17,3100 block Westborn St,Marshall-Shadeland,1,,
OFFENSE 2.0,15073185,2702,Aggravated Assault.,04/26/2015,22:00,1400 block Page St,Manchester,1,,
OFFENSE 2.0,15072761,5901,Open Lewdness.,04/26/2015,04:21,1100 block Liberty Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15072759,13(a)(31),Marijuana: Possession Small Amount,04/26/2015,04:45,Forbes Ave & Moultrie St,Bluff,2,,
OFFENSE 2.0,15072759,3809(a),Restriction on Alcoholic Beverages in Vehicle,04/26/2015,04:45,Forbes Ave & Moultrie St,Bluff,2,,
ARREST,15072759,13(a)(31),Marijuana: Possession Small Amount,04/26/2015,04:50,Forbes Ave & Moultrie St,Bluff,2,41,M
ARREST,15072759,3809(a),Restriction on Alcoholic Beverages in Vehicle,04/26/2015,04:50,Forbes Ave & Moultrie St,Bluff,2,41,M
OFFENSE 2.0,15072751,9498,302 (Mental),04/26/2015,05:00,1100 block Liberty Ave,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15072764,9490,Missing Persons (18 and Over),04/26/2015,05:25,3100 block Liberty Ave,Polish Hill,2,,
OFFENSE 2.0,15072818,3921,Theft by Unlawful Taking or Disposition.,04/26/2015,09:14,500 block Smithfield St,Golden Triangle/Civic Arena,2,,
