REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
OFFENSE 2.0,15138343,3503(b)(1)(i),Actual Communication,07/26/2015,00:30,200 block North Shore Dr,North Shore,1,,
OFFENSE 2.0,15138343,5505,Public Drunkenness,07/26/2015,00:30,200 block North Shore Dr,North Shore,1,,
OFFENSE 2.0,15138302,2701,Simple Assault.,07/26/2015,00:34,500 block Wabana St,Perry North,1,,
OFFENSE 2.0,15138302,2706,Terroristic Threats.,07/26/2015,00:34,500 block Wabana St,Perry North,1,,
OFFENSE 2.0,15138309,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,07/26/2015,00:40,400 block Tripoli St,East Allegheny,1,,
ARREST,15138302,2701,Simple Assault.,07/26/2015,00:50,500 block Wabana St,Perry North,1,32,M
ARREST,15138302,2706,Terroristic Threats.,07/26/2015,00:50,500 block Wabana St,Perry North,1,32,M
OFFENSE 2.0,15138414,5506,Loitering and Prowling at Night,07/26/2015,02:40,1300 block Halsey Pl,Marshall-Shadeland,1,,
OFFENSE 2.0,15138511,9496,Dead on Arrival (DOA),07/26/2015,06:53,300 block Elsdon St,Perry South,1,,
OFFENSE 2.0,15138529,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,07/26/2015,08:20,3000 block Holbrook St,Marshall-Shadeland,1,,
OFFENSE 2.0,15138549,9999,9999 - (Misc. Incident): ,07/26/2015,09:25,200 block East Ohio St,Allegheny Center,1,,
OFFENSE 2.0,15138602,3502,Burglary.,07/26/2015,10:55,1700 block Eckert St,Marshall-Shadeland,1,,
OFFENSE 2.0,15138799,3934,Theft from Vehicle,07/26/2015,11:00,1200 block Reedsdale St,Chateau,1,,
OFFENSE 2.0,15138614,3921,Theft by Unlawful Taking or Disposition.,07/26/2015,11:29,600 block Pressley St,East Allegheny,1,,
OFFENSE 2.0,15138671,9488,False  Burglar Alarm,07/26/2015,13:12,800 block Arch St,Allegheny Center,1,,
OFFENSE 2.0,15138825,1543,Driving While Operating Privilege is Suspended or Revoked.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138825,1786,Required Financial Responsibility.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138825,1501,Drivers Required to be Licensed.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138825,13(a)(31),Marijuana: Possession Small Amount,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138825,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138825,13(a)(16),Possession of Controlled Substance,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,,
ARREST,15138825,1786,Required Financial Responsibility.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
ARREST,15138825,1543,Driving While Operating Privilege is Suspended or Revoked.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
ARREST,15138825,1501,Drivers Required to be Licensed.,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
ARREST,15138825,13(a)(31),Marijuana: Possession Small Amount,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
ARREST,15138825,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
ARREST,15138825,13(a)(16),Possession of Controlled Substance,07/26/2015,18:15,1400 block Lowrie St,Troy Hill-Herrs Island,1,32,M
OFFENSE 2.0,15138842,1543,Driving While Operating Privilege is Suspended or Revoked.,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,3323,Stop Signs and Yield Signs.,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,3334,Turning Movements and Required Signals.,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,3733,Fleeing or Attempting to Elude Police Officer,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,3736,Reckless Driving,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,1574,Permitting Unauthorized Person to Drive.,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,13(a)(32),Paraphernalia - Use or Possession,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15138842,13(a)(16),Possession of Controlled Substance,07/26/2015,18:22,Stayton St & Marshall Ave,Marshall-Shadeland,1,,
ARREST,15138842,3736,Reckless Driving,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,20,M
ARREST,15138842,13(a)(16),Possession of Controlled Substance,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,16,M
ARREST,15138842,13(a)(30),Possession w/ Intent to Del. Controlled Substance,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,16,M
ARREST,15138842,13(a)(32),Paraphernalia - Use or Possession,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,16,M
ARREST,15138842,1543,Driving While Operating Privilege is Suspended or Revoked.,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,20,M
ARREST,15138842,3323,Stop Signs and Yield Signs.,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,20,M
ARREST,15138842,3334,Turning Movements and Required Signals.,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,20,M
ARREST,15138842,3733,Fleeing or Attempting to Elude Police Officer,07/26/2015,18:25,Stayton St & Marshall Ave,Marshall-Shadeland,1,20,M
OFFENSE 2.0,15138920,3743,Accidents Involving Damage to Attended Veh. or Property,07/26/2015,18:45,Rialto St & East Ohio St,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15138869,029,Missing Juvenile,07/26/2015,19:00,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15138895,4914,False Identification to Law Enforcement Authorities,07/26/2015,20:09,1100 block W North Ave,Manchester,1,,
OFFENSE 2.0,15138895,5503,Disorderly Conduct.,07/26/2015,20:09,1100 block W North Ave,Manchester,1,,
ARREST,15138895,5503,Disorderly Conduct.,07/26/2015,20:20,1100 block W North Ave,Manchester,1,,M
ARREST,15138895,4914,False Identification to Law Enforcement Authorities,07/26/2015,20:20,1100 block W North Ave,Manchester,1,,M
OFFENSE 2.0,15139005,3304,Criminal Mischief.,07/26/2015,21:20,1100 block New Hampshire Dr,Marshall-Shadeland,1,,
OFFENSE 2.0,15138945,9123,Miscellaneous Fire Other Investigation to Continue,07/26/2015,22:21,4000 block Oswald St,Brighton Heights,1,,
OFFENSE 2.0,15139010,3921,Theft by Unlawful Taking or Disposition.,07/26/2015,23:30,500 block East Ohio St,East Allegheny,1,,
OFFENSE 2.0,15138311,2701,Simple Assault.,07/26/2015,00:30,2700 block Barnett Way,Bedford Dwellings,2,,
OFFENSE 2.0,15138373,2701,Simple Assault.,07/26/2015,01:15,5100 block Butler St,Upper Lawrenceville,2,,
OFFENSE 2.0,15138903,2709(a)(4),Harassment Communicates Prohibited Acts,07/26/2015,01:30,2700 block Barnett Way,Bedford Dwellings,2,,
OFFENSE 2.0,15138489,2701,Simple Assault.,07/26/2015,04:45,2400 block Chauncey Dr,Bedford Dwellings,2,,
OFFENSE 2.0,15138489,3701,Robbery.,07/26/2015,04:45,2400 block Chauncey Dr,Bedford Dwellings,2,,
