REPORT_NAME,CCR,SECTION,DESCRIPTION,ARREST_DATE,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE,AGE,GENDER
ARREST,15226104,13(a)(16),Possession of Controlled Substance,11/25/2015,00:38,Henderson St & Sandusky Ct,Fineview,1,51,M
ARREST,15226104,5505,Public Drunkenness,11/25/2015,00:38,Henderson St & Sandusky Ct,Fineview,1,51,M
OFFENSE 2.0,15226104,13(a)(16),Possession of Controlled Substance,11/25/2015,00:38,Henderson St & Sandusky Ct,Fineview,1,,
OFFENSE 2.0,15226104,5505,Public Drunkenness,11/25/2015,00:38,Henderson St & Sandusky Ct,Fineview,1,,
OFFENSE 2.0,15226136,9999,(Misc. Local Ordinance): ,11/25/2015,01:35,1300 block Tell St,Spring Garden,1,,
OFFENSE 2.0,15226189,9488,False  Burglar Alarm,11/25/2015,05:11,1200 block Woodland Ave,Marshall-Shadeland,1,,
OFFENSE 2.0,15226208,3502,Burglary.,11/25/2015,06:15,500 block Armandale St,Central Northside,1,,
OFFENSE 2.0,15226437,2709,Harassment (Non-Specific),11/25/2015,08:30,1400 block W North Ave,Manchester,1,,
OFFENSE 2.0,15226247,2709(a),Harassment.,11/25/2015,08:35,300 block Mt Pleasant Rd,Northview Heights,1,,
OFFENSE 2.0,15226287,029,Missing Juvenile,11/25/2015,09:30,3800 block Perrysville Ave,Perry North,1,,
ARREST,15222201,2701,Simple Assault.,11/25/2015,12:09,2400 block Brighton Rd,Perry South,1,66,M
OFFENSE 2.0,15226512,9999,9999 - (Misc. Incident): ,11/25/2015,12:15,Brighton Rd & Island Ave,California-Kirkbride,1,,
OFFENSE 2.0,15226447,9093,Indirect Criminal Contempt,11/25/2015,14:45,1400 block Pennsylvania Ave,Manchester,1,,
OFFENSE 2.0,15226511,13(a)(16),Possession of Controlled Substance,11/25/2015,16:44,300 block Cedar Ave,East Allegheny,1,,
ARREST,15226511,13(a)(16),Possession of Controlled Substance,11/25/2015,16:44,300 block Cedar Ave,East Allegheny,1,27,F
ARREST,15226511,5505,Public Drunkenness,11/25/2015,16:44,300 block Cedar Ave,East Allegheny,1,27,F
OFFENSE 2.0,15226511,5505,Public Drunkenness,11/25/2015,16:44,300 block Cedar Ave,East Allegheny,1,,
OFFENSE 2.0,15226522,9488,False  Burglar Alarm,11/25/2015,17:03,3300 block Harbison St,Brighton Heights,1,,
ARREST,15200149,3503(b)(1)(i),Actual Communication,11/25/2015,17:13,300 block Art Rooney Ave,North Shore,1,28,M
OFFENSE 2.0,15226530,3921,Theft by Unlawful Taking or Disposition.,11/25/2015,17:15,300 block Cedar Ave,East Allegheny,1,,
OFFENSE 2.0,15226543,2702,Aggravated Assault.,11/25/2015,17:26,1500 block Letort St,Brighton Heights,1,,
OFFENSE 2.0,15226553,9488,False  Burglar Alarm,11/25/2015,17:33,3400 block California Ave,Brighton Heights,1,,
OFFENSE 2.0,15226569,9488,False  Burglar Alarm,11/25/2015,18:28,600 block Waterfront Dr,Troy Hill-Herrs Island,1,,
OFFENSE 2.0,15226690,029,Missing Juvenile,11/25/2015,21:00,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15226660,029,Missing Juvenile,11/25/2015,21:00,2000 block Termon Ave,Brighton Heights,1,,
OFFENSE 2.0,15226689,029,Missing Juvenile,11/25/2015,21:00,2000 block Termon Ave,Brighton Heights,1,,
ARREST,15119778,3925,Receiving Stolen Property.,11/25/2015,01:00,900 block 2ND Ave,Bluff,2,27,F
ARREST,15206265,3926(a)(1),Theft of Services; Cable  Gas  Taxi  Bill  Tab  etc.,11/25/2015,01:32,3100 block Liberty Ave,Polish Hill,2,23,M
ARREST,15215511,3921,Theft by Unlawful Taking or Disposition.,11/25/2015,10:08,600 block 1st Ave,Golden Triangle/Civic Arena,2,21,F
ARREST,15222381,903,Criminal Conspiracy.,11/25/2015,10:41,600 block 1st Ave,Golden Triangle/Civic Arena,2,28,F
ARREST,15222381,3929,Retail Theft.,11/25/2015,10:41,600 block 1st Ave,Golden Triangle/Civic Arena,2,28,F
ARREST,15226293,1543,Driving While Operating Privilege is Suspended or Revoked.,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
ARREST,15226293,13(a)(32),Paraphernalia - Use or Possession,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
ARREST,15226293,9501,Bench Warrant,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
ARREST,15226293,3323,Stop Signs and Yield Signs.,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
ARREST,15226293,3925,Receiving Stolen Property.,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
ARREST,15226293,13(a)(16),Possession of Controlled Substance,11/25/2015,10:46,Roberts St & Webster Ave,Crawford-Roberts,2,62,M
OFFENSE 2.0,15226322,4120,Identity Theft,11/25/2015,11:18,2400 block Smallman St,Strip District,2,,
OFFENSE 2.0,15226293,3925,Receiving Stolen Property.,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
OFFENSE 2.0,15226293,3323,Stop Signs and Yield Signs.,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
OFFENSE 2.0,15226293,1543,Driving While Operating Privilege is Suspended or Revoked.,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
OFFENSE 2.0,15226293,13(a)(32),Paraphernalia - Use or Possession,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
OFFENSE 2.0,15226293,13(a)(16),Possession of Controlled Substance,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
OFFENSE 2.0,15226293,9501,Bench Warrant,11/25/2015,11:26,Roberts St & Webster Ave,Crawford-Roberts,2,,
ARREST,15121625,9015,Failure To Appear/Arrest on Attachment Order,11/25/2015,11:50,900 block Second Ave,Upper Hill,2,46,M
OFFENSE 2.0,15226370,3929(a)(1),Retail Theft; takes possession of  carries away  or transfers displayed merchandise,11/25/2015,12:45,600 block Wood St,Golden Triangle/Civic Arena,2,,
ARREST,15226370,3929(a)(1),Retail Theft; takes possession of  carries away  or transfers displayed merchandise,11/25/2015,12:56,600 block Wood St,Golden Triangle/Civic Arena,2,36,F
ARREST,15195051,4915,Failure to Comply with Megans Law,11/25/2015,13:00,600 block 1st Ave,Chateau,2,59,M
OFFENSE 2.0,15226431,2709(a),Harassment.,11/25/2015,15:05,400 block Grant St,Golden Triangle/Civic Arena,2,,
OFFENSE 2.0,15226631,13(a)(16),Possession of Controlled Substance,11/25/2015,19:57,Webster Ave & Kirkpatrick St,Middle Hill,2,,
OFFENSE 2.0,15226631,13(a)(30),Possession w/ Intent to Del. Controlled Substance,11/25/2015,19:57,Webster Ave & Kirkpatrick St,Middle Hill,2,,
ARREST,15226631,13(a)(16),Possession of Controlled Substance,11/25/2015,19:57,Webster Ave & Kirkpatrick St,Middle Hill,2,28,M
ARREST,15226631,13(a)(30),Possession w/ Intent to Del. Controlled Substance,11/25/2015,19:57,Webster Ave & Kirkpatrick St,Middle Hill,2,28,M
ARREST,15225952,3743,Accidents Involving Damage to Attended Veh. or Property,11/25/2015,20:00,1600 block Liberty Ave,Strip District,2,,F
ARREST,15226663,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,11/25/2015,20:50,Wylie Ave & Roberts St,Crawford-Roberts,2,60,M
ARREST,15226663,3802(a)(1),DUI - General Impairment,11/25/2015,20:50,Wylie Ave & Roberts St,Crawford-Roberts,2,60,M
ARREST,15226663,3743,Accidents Involving Damage to Attended Veh. or Property,11/25/2015,20:50,Wylie Ave & Roberts St,Crawford-Roberts,2,60,M
ARREST,15226663,3323,Stop Signs and Yield Signs.,11/25/2015,20:50,Wylie Ave & Roberts St,Crawford-Roberts,2,60,M
ARREST,15226663,13(a)(31)(i),Marijuana - Possess Small Amt for Personal Use,11/25/2015,20:50,Wylie Ave & Roberts St,Crawford-Roberts,2,60,M
